INFO 2021-05-26 10:38:38,508 autoreload 597 Watching for file changes with StatReloader
INFO 2021-05-26 10:38:41,906 autoreload 597 Watching for file changes with StatReloader
WARNING 2021-05-26 10:38:45,009 log 228 Not Found: /
WARNING 2021-05-26 10:38:45,009 basehttp 154 "GET / HTTP/1.1" 404 77
INFO 2021-05-26 10:38:52,733 basehttp 154 "GET /index/ HTTP/1.1" 200 112138
WARNING 2021-05-26 10:38:52,758 log 228 Not Found: /static/css/reset.css
WARNING 2021-05-26 10:38:52,760 log 228 Not Found: /index/static/css/main.css
WARNING 2021-05-26 10:38:52,761 basehttp 154 "GET /static/css/reset.css HTTP/1.1" 404 77
WARNING 2021-05-26 10:38:52,762 log 228 Not Found: /index/static/js/host.js
WARNING 2021-05-26 10:38:52,765 log 228 Not Found: /index/static/js/vue-2.5.16.js
WARNING 2021-05-26 10:38:52,765 basehttp 154 "GET /index/static/css/main.css HTTP/1.1" 404 77
WARNING 2021-05-26 10:38:52,767 log 228 Not Found: /index/static/js/slide.js
WARNING 2021-05-26 10:38:52,771 log 228 Not Found: /index/static/js/axios-0.18.0.min.js
WARNING 2021-05-26 10:38:52,772 basehttp 154 "GET /index/static/js/host.js HTTP/1.1" 404 77
WARNING 2021-05-26 10:38:52,773 log 228 Not Found: /index/static/js/jquery-1.12.4.min.js
WARNING 2021-05-26 10:38:52,774 basehttp 154 "GET /index/static/js/slide.js HTTP/1.1" 404 77
WARNING 2021-05-26 10:38:52,774 basehttp 154 "GET /index/static/js/vue-2.5.16.js HTTP/1.1" 404 77
WARNING 2021-05-26 10:38:52,775 basehttp 154 "GET /index/static/js/axios-0.18.0.min.js HTTP/1.1" 404 77
WARNING 2021-05-26 10:38:52,776 basehttp 154 "GET /index/static/js/jquery-1.12.4.min.js HTTP/1.1" 404 77
WARNING 2021-05-26 10:38:52,785 log 228 Not Found: /js/index.js
WARNING 2021-05-26 10:38:52,787 log 228 Not Found: /index/static/js/jquery-1.12.4.min.js
WARNING 2021-05-26 10:38:52,788 log 228 Not Found: /index/images/logo.png
WARNING 2021-05-26 10:38:52,789 basehttp 154 "GET /js/index.js HTTP/1.1" 404 77
WARNING 2021-05-26 10:38:52,789 basehttp 154 "GET /index/static/js/jquery-1.12.4.min.js HTTP/1.1" 404 77
WARNING 2021-05-26 10:38:52,789 basehttp 154 "GET /index/images/logo.png HTTP/1.1" 404 77
WARNING 2021-05-26 10:38:52,793 log 228 Not Found: /images/goods/goods001.jpg
WARNING 2021-05-26 10:38:52,794 log 228 Not Found: /index/static/js/slide.js
WARNING 2021-05-26 10:38:52,795 log 228 Not Found: /images/goods/goods002.jpg
WARNING 2021-05-26 10:38:52,795 basehttp 154 "GET /images/goods/goods001.jpg HTTP/1.1" 404 77
WARNING 2021-05-26 10:38:52,796 basehttp 154 "GET /index/static/js/slide.js HTTP/1.1" 404 77
WARNING 2021-05-26 10:38:52,796 basehttp 154 "GET /images/goods/goods002.jpg HTTP/1.1" 404 77
WARNING 2021-05-26 10:38:52,813 log 228 Not Found: /images/goods/goods003.jpg
WARNING 2021-05-26 10:38:52,814 basehttp 154 "GET /images/goods/goods003.jpg HTTP/1.1" 404 77
WARNING 2021-05-26 10:38:52,862 log 228 Not Found: /js/index.js
WARNING 2021-05-26 10:38:52,863 basehttp 154 "GET /js/index.js HTTP/1.1" 404 77
INFO 2021-05-26 10:38:56,910 basehttp 154 "GET /index/ HTTP/1.1" 200 112138
WARNING 2021-05-26 10:38:56,963 log 228 Not Found: /static/css/reset.css
WARNING 2021-05-26 10:38:56,965 log 228 Not Found: /index/static/css/main.css
WARNING 2021-05-26 10:38:56,966 log 228 Not Found: /index/static/js/host.js
WARNING 2021-05-26 10:38:56,968 log 228 Not Found: /index/static/js/vue-2.5.16.js
WARNING 2021-05-26 10:38:56,969 log 228 Not Found: /index/static/js/axios-0.18.0.min.js
WARNING 2021-05-26 10:38:56,973 log 228 Not Found: /index/static/js/jquery-1.12.4.min.js
WARNING 2021-05-26 10:38:56,973 basehttp 154 "GET /static/css/reset.css HTTP/1.1" 404 77
WARNING 2021-05-26 10:38:56,974 basehttp 154 "GET /index/static/css/main.css HTTP/1.1" 404 77
WARNING 2021-05-26 10:38:56,974 basehttp 154 "GET /index/static/js/host.js HTTP/1.1" 404 77
WARNING 2021-05-26 10:38:56,974 basehttp 154 "GET /index/static/js/vue-2.5.16.js HTTP/1.1" 404 77
WARNING 2021-05-26 10:38:56,975 basehttp 154 "GET /index/static/js/axios-0.18.0.min.js HTTP/1.1" 404 77
WARNING 2021-05-26 10:38:56,975 basehttp 154 "GET /index/static/js/jquery-1.12.4.min.js HTTP/1.1" 404 77
WARNING 2021-05-26 10:38:56,988 log 228 Not Found: /index/static/js/slide.js
WARNING 2021-05-26 10:38:56,989 basehttp 154 "GET /index/static/js/slide.js HTTP/1.1" 404 77
WARNING 2021-05-26 10:38:56,993 log 228 Not Found: /js/index.js
WARNING 2021-05-26 10:38:56,995 log 228 Not Found: /index/static/js/jquery-1.12.4.min.js
WARNING 2021-05-26 10:38:56,995 basehttp 154 "GET /js/index.js HTTP/1.1" 404 77
WARNING 2021-05-26 10:38:56,996 basehttp 154 "GET /index/static/js/jquery-1.12.4.min.js HTTP/1.1" 404 77
WARNING 2021-05-26 10:38:57,000 log 228 Not Found: /index/images/logo.png
WARNING 2021-05-26 10:38:57,001 basehttp 154 "GET /index/images/logo.png HTTP/1.1" 404 77
WARNING 2021-05-26 10:38:57,003 log 228 Not Found: /images/goods/goods001.jpg
WARNING 2021-05-26 10:38:57,005 log 228 Not Found: /index/static/js/slide.js
WARNING 2021-05-26 10:38:57,005 basehttp 154 "GET /images/goods/goods001.jpg HTTP/1.1" 404 77
WARNING 2021-05-26 10:38:57,006 basehttp 154 "GET /index/static/js/slide.js HTTP/1.1" 404 77
WARNING 2021-05-26 10:38:57,010 log 228 Not Found: /images/goods/goods002.jpg
WARNING 2021-05-26 10:38:57,011 basehttp 154 "GET /images/goods/goods002.jpg HTTP/1.1" 404 77
WARNING 2021-05-26 10:38:57,013 log 228 Not Found: /images/goods/goods003.jpg
WARNING 2021-05-26 10:38:57,013 basehttp 154 "GET /images/goods/goods003.jpg HTTP/1.1" 404 77
WARNING 2021-05-26 10:38:57,059 log 228 Not Found: /js/index.js
WARNING 2021-05-26 10:38:57,060 basehttp 154 "GET /js/index.js HTTP/1.1" 404 77
INFO 2021-05-26 10:39:30,955 autoreload 597 Watching for file changes with StatReloader
INFO 2021-05-26 10:40:10,155 autoreload 597 Watching for file changes with StatReloader
WARNING 2021-05-26 10:40:24,746 log 228 Not Found: /
WARNING 2021-05-26 10:40:24,746 basehttp 154 "GET / HTTP/1.1" 404 77
INFO 2021-05-26 10:40:31,547 basehttp 154 "GET /index/ HTTP/1.1" 200 112138
WARNING 2021-05-26 10:40:31,575 log 228 Not Found: /static/css/reset.css
WARNING 2021-05-26 10:40:31,578 log 228 Not Found: /index/static/css/main.css
WARNING 2021-05-26 10:40:31,578 basehttp 154 "GET /static/css/reset.css HTTP/1.1" 404 77
WARNING 2021-05-26 10:40:31,581 log 228 Not Found: /index/static/js/host.js
WARNING 2021-05-26 10:40:31,582 log 228 Not Found: /index/static/js/slide.js
WARNING 2021-05-26 10:40:31,586 log 228 Not Found: /index/static/js/vue-2.5.16.js
WARNING 2021-05-26 10:40:31,587 basehttp 154 "GET /index/static/css/main.css HTTP/1.1" 404 77
WARNING 2021-05-26 10:40:31,587 basehttp 154 "GET /index/static/js/slide.js HTTP/1.1" 404 77
WARNING 2021-05-26 10:40:31,590 log 228 Not Found: /index/static/js/axios-0.18.0.min.js
WARNING 2021-05-26 10:40:31,591 basehttp 154 "GET /index/static/js/host.js HTTP/1.1" 404 77
WARNING 2021-05-26 10:40:31,593 log 228 Not Found: /index/static/js/jquery-1.12.4.min.js
WARNING 2021-05-26 10:40:31,594 basehttp 154 "GET /index/static/js/vue-2.5.16.js HTTP/1.1" 404 77
WARNING 2021-05-26 10:40:31,595 basehttp 154 "GET /index/static/js/axios-0.18.0.min.js HTTP/1.1" 404 77
WARNING 2021-05-26 10:40:31,596 basehttp 154 "GET /index/static/js/jquery-1.12.4.min.js HTTP/1.1" 404 77
WARNING 2021-05-26 10:40:31,612 log 228 Not Found: /js/index.js
WARNING 2021-05-26 10:40:31,614 log 228 Not Found: /index/images/logo.png
WARNING 2021-05-26 10:40:31,614 basehttp 154 "GET /js/index.js HTTP/1.1" 404 77
WARNING 2021-05-26 10:40:31,615 basehttp 154 "GET /index/images/logo.png HTTP/1.1" 404 77
WARNING 2021-05-26 10:40:31,618 log 228 Not Found: /index/static/js/slide.js
WARNING 2021-05-26 10:40:31,619 log 228 Not Found: /images/goods/goods001.jpg
WARNING 2021-05-26 10:40:31,620 basehttp 154 "GET /images/goods/goods001.jpg HTTP/1.1" 404 77
WARNING 2021-05-26 10:40:31,620 basehttp 154 "GET /index/static/js/slide.js HTTP/1.1" 404 77
WARNING 2021-05-26 10:40:31,629 log 228 Not Found: /images/goods/goods002.jpg
WARNING 2021-05-26 10:40:31,630 basehttp 154 "GET /images/goods/goods002.jpg HTTP/1.1" 404 77
WARNING 2021-05-26 10:40:31,637 log 228 Not Found: /images/goods/goods003.jpg
WARNING 2021-05-26 10:40:31,638 basehttp 154 "GET /images/goods/goods003.jpg HTTP/1.1" 404 77
WARNING 2021-05-26 10:40:31,677 log 228 Not Found: /js/index.js
WARNING 2021-05-26 10:40:31,679 basehttp 154 "GET /js/index.js HTTP/1.1" 404 77
INFO 2021-05-26 10:42:57,575 autoreload 597 Watching for file changes with StatReloader
INFO 2021-05-26 10:43:08,068 basehttp 154 "GET /index/ HTTP/1.1" 200 112140
WARNING 2021-05-26 10:43:08,105 log 228 Not Found: /static/css/reset.css
WARNING 2021-05-26 10:43:08,106 log 228 Not Found: /index/static/css/main.css
WARNING 2021-05-26 10:43:08,108 log 228 Not Found: /index/static/js/host.js
WARNING 2021-05-26 10:43:08,109 basehttp 154 "GET /static/css/reset.css HTTP/1.1" 404 77
WARNING 2021-05-26 10:43:08,110 log 228 Not Found: /index/static/js/vue-2.5.16.js
WARNING 2021-05-26 10:43:08,111 log 228 Not Found: /index/static/js/axios-0.18.0.min.js
WARNING 2021-05-26 10:43:08,111 basehttp 154 "GET /index/static/css/main.css HTTP/1.1" 404 77
WARNING 2021-05-26 10:43:08,113 log 228 Not Found: /index/static/js/slide.js
WARNING 2021-05-26 10:43:08,113 basehttp 154 "GET /index/static/js/host.js HTTP/1.1" 404 77
WARNING 2021-05-26 10:43:08,114 log 228 Not Found: /index/static/js/jquery-1.12.4.min.js
WARNING 2021-05-26 10:43:08,116 basehttp 154 "GET /index/static/js/axios-0.18.0.min.js HTTP/1.1" 404 77
WARNING 2021-05-26 10:43:08,116 basehttp 154 "GET /index/static/js/vue-2.5.16.js HTTP/1.1" 404 77
WARNING 2021-05-26 10:43:08,117 basehttp 154 "GET /index/static/js/slide.js HTTP/1.1" 404 77
WARNING 2021-05-26 10:43:08,118 basehttp 154 "GET /index/static/js/jquery-1.12.4.min.js HTTP/1.1" 404 77
WARNING 2021-05-26 10:43:08,123 log 228 Not Found: /index/static/js/axios-0.18.0.min.js
WARNING 2021-05-26 10:43:08,124 log 228 Not Found: /js/index.js
WARNING 2021-05-26 10:43:08,124 basehttp 154 "GET /index/static/js/axios-0.18.0.min.js HTTP/1.1" 404 77
WARNING 2021-05-26 10:43:08,125 basehttp 154 "GET /js/index.js HTTP/1.1" 404 77
WARNING 2021-05-26 10:43:08,131 log 228 Not Found: /index/images/logo.png
WARNING 2021-05-26 10:43:08,133 log 228 Not Found: /index/static/js/jquery-1.12.4.min.js
WARNING 2021-05-26 10:43:08,133 basehttp 154 "GET /index/images/logo.png HTTP/1.1" 404 77
WARNING 2021-05-26 10:43:08,134 basehttp 154 "GET /index/static/js/jquery-1.12.4.min.js HTTP/1.1" 404 77
WARNING 2021-05-26 10:43:08,138 log 228 Not Found: /images/goods/goods001.jpg
WARNING 2021-05-26 10:43:08,140 log 228 Not Found: /images/goods/goods002.jpg
WARNING 2021-05-26 10:43:08,141 log 228 Not Found: /index/static/js/slide.js
WARNING 2021-05-26 10:43:08,142 basehttp 154 "GET /images/goods/goods001.jpg HTTP/1.1" 404 77
WARNING 2021-05-26 10:43:08,142 basehttp 154 "GET /images/goods/goods002.jpg HTTP/1.1" 404 77
WARNING 2021-05-26 10:43:08,143 basehttp 154 "GET /index/static/js/slide.js HTTP/1.1" 404 77
WARNING 2021-05-26 10:43:08,149 log 228 Not Found: /images/goods/goods003.jpg
WARNING 2021-05-26 10:43:08,149 basehttp 154 "GET /images/goods/goods003.jpg HTTP/1.1" 404 77
WARNING 2021-05-26 10:43:08,196 log 228 Not Found: /js/index.js
WARNING 2021-05-26 10:43:08,197 basehttp 154 "GET /js/index.js HTTP/1.1" 404 77
INFO 2021-05-26 10:43:17,631 basehttp 154 "GET /index/ HTTP/1.1" 200 112140
WARNING 2021-05-26 10:43:17,650 log 228 Not Found: /static/css/reset.css
WARNING 2021-05-26 10:43:17,652 log 228 Not Found: /index/static/css/main.css
WARNING 2021-05-26 10:43:17,654 log 228 Not Found: /index/static/js/host.js
WARNING 2021-05-26 10:43:17,655 log 228 Not Found: /index/static/js/vue-2.5.16.js
WARNING 2021-05-26 10:43:17,656 log 228 Not Found: /index/static/js/jquery-1.12.4.min.js
WARNING 2021-05-26 10:43:17,658 log 228 Not Found: /index/static/js/axios-0.18.0.min.js
WARNING 2021-05-26 10:43:17,658 basehttp 154 "GET /index/static/css/main.css HTTP/1.1" 404 77
WARNING 2021-05-26 10:43:17,658 basehttp 154 "GET /static/css/reset.css HTTP/1.1" 404 77
WARNING 2021-05-26 10:43:17,659 basehttp 154 "GET /index/static/js/host.js HTTP/1.1" 404 77
WARNING 2021-05-26 10:43:17,659 basehttp 154 "GET /index/static/js/vue-2.5.16.js HTTP/1.1" 404 77
WARNING 2021-05-26 10:43:17,660 basehttp 154 "GET /index/static/js/jquery-1.12.4.min.js HTTP/1.1" 404 77
WARNING 2021-05-26 10:43:17,660 basehttp 154 "GET /index/static/js/axios-0.18.0.min.js HTTP/1.1" 404 77
WARNING 2021-05-26 10:43:17,661 log 228 Not Found: /index/static/js/slide.js
WARNING 2021-05-26 10:43:17,662 basehttp 154 "GET /index/static/js/slide.js HTTP/1.1" 404 77
WARNING 2021-05-26 10:43:17,665 log 228 Not Found: /js/index.js
WARNING 2021-05-26 10:43:17,666 log 228 Not Found: /index/static/js/jquery-1.12.4.min.js
WARNING 2021-05-26 10:43:17,666 basehttp 154 "GET /js/index.js HTTP/1.1" 404 77
WARNING 2021-05-26 10:43:17,667 basehttp 154 "GET /index/static/js/jquery-1.12.4.min.js HTTP/1.1" 404 77
WARNING 2021-05-26 10:43:17,672 log 228 Not Found: /index/images/logo.png
WARNING 2021-05-26 10:43:17,673 basehttp 154 "GET /index/images/logo.png HTTP/1.1" 404 77
WARNING 2021-05-26 10:43:17,679 log 228 Not Found: /images/goods/goods001.jpg
WARNING 2021-05-26 10:43:17,681 log 228 Not Found: /index/static/js/slide.js
WARNING 2021-05-26 10:43:17,681 basehttp 154 "GET /images/goods/goods001.jpg HTTP/1.1" 404 77
WARNING 2021-05-26 10:43:17,682 basehttp 154 "GET /index/static/js/slide.js HTTP/1.1" 404 77
WARNING 2021-05-26 10:43:17,686 log 228 Not Found: /images/goods/goods002.jpg
WARNING 2021-05-26 10:43:17,687 basehttp 154 "GET /images/goods/goods002.jpg HTTP/1.1" 404 77
WARNING 2021-05-26 10:43:17,692 log 228 Not Found: /images/goods/goods003.jpg
WARNING 2021-05-26 10:43:17,692 basehttp 154 "GET /images/goods/goods003.jpg HTTP/1.1" 404 77
WARNING 2021-05-26 10:43:17,729 log 228 Not Found: /js/index.js
WARNING 2021-05-26 10:43:17,730 basehttp 154 "GET /js/index.js HTTP/1.1" 404 77
INFO 2021-05-26 10:44:31,245 autoreload 597 Watching for file changes with StatReloader
INFO 2021-05-26 10:44:36,839 autoreload 597 Watching for file changes with StatReloader
INFO 2021-05-26 10:44:39,859 basehttp 154 "GET /index/ HTTP/1.1" 200 112144
WARNING 2021-05-26 10:44:39,914 log 228 Not Found: /static/css/reset.css
WARNING 2021-05-26 10:44:39,916 log 228 Not Found: /static/css/main.css
WARNING 2021-05-26 10:44:39,917 log 228 Not Found: /static/js/host.js
WARNING 2021-05-26 10:44:39,918 basehttp 154 "GET /static/css/reset.css HTTP/1.1" 404 77
WARNING 2021-05-26 10:44:39,918 log 228 Not Found: /static/js/axios-0.18.0.min.js
WARNING 2021-05-26 10:44:39,920 log 228 Not Found: /static/js/slide.js
WARNING 2021-05-26 10:44:39,921 basehttp 154 "GET /static/css/main.css HTTP/1.1" 404 77
WARNING 2021-05-26 10:44:39,922 log 228 Not Found: /static/js/vue-2.5.16.js
WARNING 2021-05-26 10:44:39,922 basehttp 154 "GET /static/js/host.js HTTP/1.1" 404 77
WARNING 2021-05-26 10:44:39,923 basehttp 154 "GET /static/js/axios-0.18.0.min.js HTTP/1.1" 404 77
WARNING 2021-05-26 10:44:39,923 basehttp 154 "GET /static/js/slide.js HTTP/1.1" 404 77
WARNING 2021-05-26 10:44:39,924 log 228 Not Found: /static/js/jquery-1.12.4.min.js
WARNING 2021-05-26 10:44:39,925 basehttp 154 "GET /static/js/vue-2.5.16.js HTTP/1.1" 404 77
WARNING 2021-05-26 10:44:39,926 basehttp 154 "GET /static/js/jquery-1.12.4.min.js HTTP/1.1" 404 77
WARNING 2021-05-26 10:44:39,945 log 228 Not Found: /js/index.js
WARNING 2021-05-26 10:44:39,946 log 228 Not Found: /static/js/axios-0.18.0.min.js
WARNING 2021-05-26 10:44:39,946 basehttp 154 "GET /js/index.js HTTP/1.1" 404 77
WARNING 2021-05-26 10:44:39,946 basehttp 154 "GET /static/js/axios-0.18.0.min.js HTTP/1.1" 404 77
WARNING 2021-05-26 10:44:39,950 log 228 Not Found: /index/images/logo.png
WARNING 2021-05-26 10:44:39,951 log 228 Not Found: /images/goods/goods001.jpg
WARNING 2021-05-26 10:44:39,952 log 228 Not Found: /static/js/jquery-1.12.4.min.js
WARNING 2021-05-26 10:44:39,953 basehttp 154 "GET /index/images/logo.png HTTP/1.1" 404 77
WARNING 2021-05-26 10:44:39,953 basehttp 154 "GET /images/goods/goods001.jpg HTTP/1.1" 404 77
WARNING 2021-05-26 10:44:39,953 basehttp 154 "GET /static/js/jquery-1.12.4.min.js HTTP/1.1" 404 77
WARNING 2021-05-26 10:44:39,961 log 228 Not Found: /images/goods/goods002.jpg
WARNING 2021-05-26 10:44:39,963 log 228 Not Found: /images/goods/goods003.jpg
WARNING 2021-05-26 10:44:39,963 log 228 Not Found: /static/js/slide.js
WARNING 2021-05-26 10:44:39,964 basehttp 154 "GET /images/goods/goods003.jpg HTTP/1.1" 404 77
WARNING 2021-05-26 10:44:39,964 basehttp 154 "GET /images/goods/goods002.jpg HTTP/1.1" 404 77
WARNING 2021-05-26 10:44:39,964 basehttp 154 "GET /static/js/slide.js HTTP/1.1" 404 77
WARNING 2021-05-26 10:44:39,995 log 228 Not Found: /images/goods/goods003.jpg
WARNING 2021-05-26 10:44:39,996 basehttp 154 "GET /images/goods/goods003.jpg HTTP/1.1" 404 77
WARNING 2021-05-26 10:44:40,013 log 228 Not Found: /js/index.js
WARNING 2021-05-26 10:44:40,014 basehttp 154 "GET /js/index.js HTTP/1.1" 404 77
INFO 2021-05-26 10:49:03,698 autoreload 597 Watching for file changes with StatReloader
INFO 2021-05-26 10:49:33,366 basehttp 154 "GET /index/ HTTP/1.1" 200 112144
WARNING 2021-05-26 10:49:33,394 log 228 Not Found: /static/css/reset.css
WARNING 2021-05-26 10:49:33,396 log 228 Not Found: /static/js/host.js
WARNING 2021-05-26 10:49:33,398 log 228 Not Found: /static/css/main.css
WARNING 2021-05-26 10:49:33,399 log 228 Not Found: /static/js/vue-2.5.16.js
WARNING 2021-05-26 10:49:33,400 basehttp 154 "GET /static/css/reset.css HTTP/1.1" 404 77
WARNING 2021-05-26 10:49:33,400 log 228 Not Found: /static/js/axios-0.18.0.min.js
WARNING 2021-05-26 10:49:33,401 basehttp 154 "GET /static/js/host.js HTTP/1.1" 404 77
WARNING 2021-05-26 10:49:33,402 log 228 Not Found: /static/js/jquery-1.12.4.min.js
WARNING 2021-05-26 10:49:33,402 basehttp 154 "GET /static/css/main.css HTTP/1.1" 404 77
WARNING 2021-05-26 10:49:33,404 log 228 Not Found: /static/js/slide.js
WARNING 2021-05-26 10:49:33,404 basehttp 154 "GET /static/js/vue-2.5.16.js HTTP/1.1" 404 77
WARNING 2021-05-26 10:49:33,406 basehttp 154 "GET /static/js/slide.js HTTP/1.1" 404 77
WARNING 2021-05-26 10:49:33,406 basehttp 154 "GET /static/js/axios-0.18.0.min.js HTTP/1.1" 404 77
WARNING 2021-05-26 10:49:33,407 basehttp 154 "GET /static/js/jquery-1.12.4.min.js HTTP/1.1" 404 77
WARNING 2021-05-26 10:49:33,424 log 228 Not Found: /js/index.js
WARNING 2021-05-26 10:49:33,425 log 228 Not Found: /index/images/logo.png
WARNING 2021-05-26 10:49:33,425 log 228 Not Found: /static/js/slide.js
WARNING 2021-05-26 10:49:33,426 basehttp 154 "GET /index/images/logo.png HTTP/1.1" 404 77
WARNING 2021-05-26 10:49:33,426 basehttp 154 "GET /js/index.js HTTP/1.1" 404 77
WARNING 2021-05-26 10:49:33,426 basehttp 154 "GET /static/js/slide.js HTTP/1.1" 404 77
WARNING 2021-05-26 10:49:33,432 log 228 Not Found: /images/goods/goods001.jpg
WARNING 2021-05-26 10:49:33,433 log 228 Not Found: /images/goods/goods002.jpg
WARNING 2021-05-26 10:49:33,434 basehttp 154 "GET /images/goods/goods001.jpg HTTP/1.1" 404 77
WARNING 2021-05-26 10:49:33,434 basehttp 154 "GET /images/goods/goods002.jpg HTTP/1.1" 404 77
WARNING 2021-05-26 10:49:33,439 log 228 Not Found: /images/goods/goods003.jpg
WARNING 2021-05-26 10:49:33,439 basehttp 154 "GET /images/goods/goods003.jpg HTTP/1.1" 404 77
WARNING 2021-05-26 10:49:33,631 log 228 Not Found: /js/index.js
WARNING 2021-05-26 10:49:33,631 basehttp 154 "GET /js/index.js HTTP/1.1" 404 77
WARNING 2021-05-26 10:49:35,792 log 228 Not Found: /static/css/reset.css
WARNING 2021-05-26 10:49:35,794 log 228 Not Found: /static/css/main.css
WARNING 2021-05-26 10:49:35,794 basehttp 154 "GET /static/css/main.css HTTP/1.1" 404 77
WARNING 2021-05-26 10:49:35,795 basehttp 154 "GET /static/css/reset.css HTTP/1.1" 404 77
INFO 2021-05-26 10:53:44,299 autoreload 217 D:\Pycharm-project\untitled\meiduo\meiduo_mall\meiduo_mall\settings.py changed, reloading.
INFO 2021-05-26 10:53:45,098 autoreload 597 Watching for file changes with StatReloader
INFO 2021-05-26 10:55:35,374 basehttp 154 "GET /index/ HTTP/1.1" 200 112144
INFO 2021-05-26 10:55:35,418 basehttp 154 "GET /static/css/reset.css HTTP/1.1" 200 638
INFO 2021-05-26 10:55:35,421 basehttp 154 "GET /static/js/axios-0.18.0.min.js HTTP/1.1" 200 12941
INFO 2021-05-26 10:55:35,421 basehttp 154 "GET /static/js/host.js HTTP/1.1" 200 115
INFO 2021-05-26 10:55:35,422 basehttp 154 "GET /static/css/main.css HTTP/1.1" 200 39715
INFO 2021-05-26 10:55:35,423 basehttp 154 "GET /static/js/jquery-1.12.4.min.js HTTP/1.1" 200 97163
INFO 2021-05-26 10:55:35,425 basehttp 154 "GET /static/js/slide.js HTTP/1.1" 200 1820
INFO 2021-05-26 10:55:35,428 basehttp 154 "GET /static/js/vue-2.5.16.js HTTP/1.1" 200 289303
WARNING 2021-05-26 10:55:35,476 log 228 Not Found: /js/index.js
WARNING 2021-05-26 10:55:35,479 log 228 Not Found: /index/images/logo.png
WARNING 2021-05-26 10:55:35,483 basehttp 154 "GET /js/index.js HTTP/1.1" 404 5826
WARNING 2021-05-26 10:55:35,487 basehttp 154 "GET /index/images/logo.png HTTP/1.1" 404 5856
WARNING 2021-05-26 10:55:35,493 log 228 Not Found: /images/goods/goods001.jpg
